minute_utc,entity_id,recorded_changes,min_w,avg_recorded_w,max_w,last_w
2026-08-12T06:33:00Z,sensor.furnace_power_total,4,277.25,277.335,277.42,277.35
2026-08-12T06:34:00Z,sensor.ac_power_total,8,2072.83,2075.34,2077.18,2075.57
2026-08-12T06:34:00Z,sensor.furnace_power_total,4,276.58,277.327,278.35,277.5
2026-08-12T06:35:00Z,sensor.ac_power_total,8,2073.79,2076.494,2078.93,2078.93
2026-08-12T06:35:00Z,sensor.furnace_power_total,4,276.77,277.002,277.21,277.21
2026-08-12T06:36:00Z,sensor.ac_power_total,8,2075.66,2082.749,2087.04,2087.04
2026-08-12T06:36:00Z,sensor.furnace_power_total,4,276.64,276.86,277.08,277.08
2026-08-12T06:37:00Z,sensor.ac_power_total,8,2075.72,2079.274,2085.11,2075.83
2026-08-12T06:37:00Z,sensor.furnace_power_total,4,276.76,277.243,277.86,277.86
2026-08-12T06:38:00Z,sensor.ac_power_total,8,2077.54,2085.385,2089.41,2088.21
2026-08-12T06:38:00Z,sensor.furnace_power_total,4,277.34,277.488,277.64,277.35
2026-08-12T06:39:00Z,sensor.ac_power_total,8,2085.04,2090.095,2092.48,2085.04
2026-08-12T06:39:00Z,sensor.furnace_power_total,4,277.22,277.413,277.6,277.6
2026-08-12T06:40:00Z,sensor.ac_power_total,8,2082.9,2083.636,2084.3,2082.9
2026-08-12T06:40:00Z,sensor.furnace_power_total,4,277.33,277.512,277.93,277.38
2026-08-12T06:41:00Z,sensor.ac_power_total,8,2078.93,2080.329,2081.84,2081.84
2026-08-12T06:41:00Z,sensor.furnace_power_total,4,277.74,277.842,278.01,277.75
2026-08-12T06:42:00Z,sensor.ac_power_total,8,2076.86,2081.557,2086.25,2081.16
2026-08-12T06:42:00Z,sensor.furnace_power_total,4,277.49,277.675,277.88,277.88
2026-08-12T06:43:00Z,sensor.ac_power_total,8,2075.64,2078.264,2080.05,2080.05
2026-08-12T06:43:00Z,sensor.furnace_power_total,4,277.12,277.228,277.38,277.18
2026-08-12T06:44:00Z,sensor.ac_power_total,8,2072.46,2075.475,2077.73,2077.07
2026-08-12T06:44:00Z,sensor.furnace_power_total,4,277.21,277.63,277.91,277.91
2026-08-12T06:45:00Z,sensor.ac_power_total,8,2072.82,2073.751,2075.6,2074.5
2026-08-12T06:45:00Z,sensor.furnace_power_total,4,277.67,277.765,277.95,277.77
2026-08-12T06:46:00Z,sensor.ac_power_total,8,2072.47,2075.031,2077.72,2072.47
2026-08-12T06:46:00Z,sensor.furnace_power_total,4,277.24,277.44,277.74,277.24
2026-08-12T06:47:00Z,sensor.ac_power_total,8,2069.4,2073.477,2078.59,2076.34
2026-08-12T06:47:00Z,sensor.furnace_power_total,4,277.64,277.81,278.09,278.09
2026-08-12T06:48:00Z,sensor.ac_power_total,8,2073.33,2075.005,2076.97,2073.67
2026-08-12T06:48:00Z,sensor.furnace_power_total,4,277.31,277.475,277.83,277.41
2026-08-12T06:49:00Z,sensor.ac_power_total,8,2067.31,2069.529,2072.42,2070.78
2026-08-12T06:49:00Z,sensor.furnace_power_total,4,277.06,277.385,277.61,277.45
2026-08-12T06:50:00Z,sensor.ac_power_total,8,2071.73,2073.549,2075.07,2073.88
2026-08-12T06:50:00Z,sensor.furnace_power_total,4,277.1,277.278,277.57,277.23
2026-08-12T06:51:00Z,sensor.ac_power_total,8,2074.95,2077.441,2079.66,2079.66
2026-08-12T06:51:00Z,sensor.furnace_power_total,4,277.29,277.438,277.55,277.38
2026-08-12T06:52:00Z,sensor.ac_power_total,8,2081.25,2083.135,2085.02,2085.02
2026-08-12T06:52:00Z,sensor.furnace_power_total,4,277.22,277.345,277.62,277.24
2026-08-12T06:53:00Z,sensor.ac_power_total,8,2085.99,2086.464,2087.0,2086.98
2026-08-12T06:53:00Z,sensor.furnace_power_total,4,277.11,277.398,277.6,277.43
2026-08-12T06:54:00Z,sensor.ac_power_total,8,2081.5,2083.791,2087.23,2081.5
2026-08-12T06:54:00Z,sensor.furnace_power_total,4,276.46,277.285,277.8,276.46
2026-08-12T06:55:00Z,sensor.ac_power_total,8,2071.54,2075.56,2080.57,2072.03
2026-08-12T06:55:00Z,sensor.furnace_power_total,4,276.35,277.148,277.76,277.49
2026-08-12T06:56:00Z,sensor.ac_power_total,8,2061.21,2066.139,2071.39,2061.21
2026-08-12T06:56:00Z,sensor.furnace_power_total,4,276.43,277.04,277.53,277.53
2026-08-12T06:57:00Z,sensor.ac_power_total,8,2061.93,2062.645,2063.45,2063.45
2026-08-12T06:57:00Z,sensor.furnace_power_total,4,276.83,277.31,277.73,277.73
2026-08-12T06:58:00Z,sensor.ac_power_total,8,2064.26,2068.892,2074.21,2074.21
2026-08-12T06:58:00Z,sensor.furnace_power_total,4,276.84,277.5,277.86,277.6
2026-08-12T06:59:00Z,sensor.ac_power_total,8,2072.69,2074.02,2074.78,2072.69
2026-08-12T06:59:00Z,sensor.furnace_power_total,4,277.52,277.772,278.04,277.64
2026-08-12T07:00:00Z,sensor.ac_power_total,8,2071.24,2073.486,2075.32,2071.24
2026-08-12T07:00:00Z,sensor.furnace_power_total,4,277.12,277.548,278.01,277.27
2026-08-12T07:01:00Z,sensor.ac_power_total,8,2071.47,2073.294,2077.0,2077.0
2026-08-12T07:01:00Z,sensor.furnace_power_total,3,277.15,277.613,277.92,277.92
